ID_Nodo,Latitud,Longitud,Calle_A,Calle_B,Nombre_Esquina
4240623471,-24.7922484,-65.432064,,,Nodo 4240623471
4240623470,-24.7928894,-65.4316187,,,Nodo 4240623470
7686443899,-24.7930044,-65.4315597,,,Nodo 7686443899
4240623468,-24.7934176,-65.4313953,,,Nodo 4240623468
1170590670,-24.7904258,-65.4192943,,,Nodo 1170590670
1168544222,-24.7967057,-65.4045311,,,Nodo 1168544222
5486881997,-24.7966257,-65.4054039,,,Nodo 5486881997
1170591171,-24.7964986,-65.4074045,,,Nodo 1170591171
7686432652,-24.7906482,-65.419432,,,Nodo 7686432652
4240571014,-24.7907659,-65.4194543,,,Nodo 4240571014
2118016424,-24.7910669,-65.4194832,,,Nodo 2118016424
1167270476,-24.7917148,-65.419533,,,Nodo 1167270476
2118016402,-24.7922657,-65.419581,,,Nodo 2118016402
1167269895,-24.7929552,-65.4196378,,,Nodo 1167269895
1170590731,-24.7973516,-65.4116964,,,Nodo 1170590731
1170591282,-24.7986032,-65.4118122,,,Nodo 1170591282
5923317307,-24.7998681,-65.4119153,,,Nodo 5923317307
1170591150,-24.7999395,-65.4119218,,,Nodo 1170591150
1365467208,-24.8005781,-65.4119804,,,Nodo 1365467208
1170590622,-24.8011912,-65.4120475,,,Nodo 1170590622
2470253580,-24.8020569,-65.4121203,,,Nodo 2470253580
1170590817,-24.8024534,-65.4121516,,,Nodo 1170590817
1365441744,-24.803929,-65.4122707,,,Nodo 1365441744
2123976505,-24.8050527,-65.412353,,,Nodo 2123976505
2123976475,-24.805682,-65.4124061,,,Nodo 2123976475
1365467602,-24.8062968,-65.4124646,,,Nodo 1365467602
4240242109,-24.806471,-65.4124792,,,Nodo 4240242109
1365467629,-24.8066323,-65.4124945,,,Nodo 1365467629
1390858557,-24.79608,-65.4296195,,,Nodo 1390858557
1170590699,-24.7961783,-65.4282293,,,Nodo 1170590699
1390875832,-24.7962757,-65.4268341,,,Nodo 1390875832
1170590958,-24.7963745,-65.4254805,,,Nodo 1170590958
1390875838,-24.7964642,-65.4240893,,,Nodo 1390875838
1170591135,-24.7965561,-65.4226952,,,Nodo 1170591135
1170591001,-24.7966284,-65.4213056,,,Nodo 1170591001
1170590778,-24.7967194,-65.419938,,,Nodo 1170590778
1170591005,-24.7967638,-65.418939,,,Nodo 1170591005
1170591115,-24.7968252,-65.4179692,,,Nodo 1170591115
1365441768,-24.80539,-65.4139116,,,Nodo 1365441768
1365441751,-24.8044684,-65.4137727,,,Nodo 1365441751
1365441736,-24.8037432,-65.4137091,,,Nodo 1365441736
1365467440,-24.8029188,-65.4136389,,,Nodo 1365467440
1365441713,-24.8023247,-65.4135825,,,Nodo 1365441713
1196732259,-24.7995607,-65.3979916,,,Nodo 1196732259
1365467108,-24.7994683,-65.3993188,,,Nodo 1365467108
1387614272,-24.799375,-65.4006958,,,Nodo 1387614272
1365467097,-24.7993235,-65.4013771,,,Nodo 1365467097
1365467092,-24.7992767,-65.4020763,,,Nodo 1365467092
1387598411,-24.7992463,-65.4024896,,,Nodo 1387598411
1170591296,-24.7991837,-65.4034634,,,Nodo 1170591296
1260445217,-24.7753556,-65.4020966,,,Nodo 1260445217
12887932664,-24.7753564,-65.4022655,,,Nodo 12887932664
1771508523,-24.7753569,-65.4023702,,,Nodo 1771508523
1771508522,-24.7753358,-65.4026722,,,Nodo 1771508522
1170612627,-24.7753198,-65.4029008,,,Nodo 1170612627
1176386770,-24.7849433,-65.402681,,,Nodo 1176386770
12884508882,-24.7849484,-65.4026098,,,Nodo 12884508882
1176386730,-24.7850255,-65.401543,,,Nodo 1176386730
12259994562,-24.7851187,-65.4000834,,,Nodo 12259994562
1176386810,-24.7851098,-65.3999901,,,Nodo 1176386810
1167270231,-24.7856557,-65.4025596,,,Nodo 1167270231
1176386789,-24.785756,-65.4014261,,,Nodo 1176386789
